method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.1983379965675027,0.425,1000
learned_active,6,profile_mae,0.1984271743609627,0.426,1000
learned_active,6,profile_mae,0.1984343679286964,0.427,1000
learned_active,6,profile_mae,0.1990312435640223,0.428,1000
learned_active,6,profile_mae,0.1994655729190878,0.429,1000
learned_active,6,profile_mae,0.1997800865294363,0.43,1000
learned_active,6,profile_mae,0.2000785520289253,0.431,1000
learned_active,6,profile_mae,0.2005341728282245,0.432,1000
learned_active,6,profile_mae,0.2010493443906229,0.433,1000
learned_active,6,profile_mae,0.2010889364688417,0.434,1000
learned_active,6,profile_mae,0.2015011617833506,0.435,1000
learned_active,6,profile_mae,0.2021717017627393,0.436,1000
learned_active,6,profile_mae,0.2025046919621469,0.437,1000
learned_active,6,profile_mae,0.2025124108170922,0.438,1000
learned_active,6,profile_mae,0.2026933098475949,0.439,1000
learned_active,6,profile_mae,0.20313654125216,0.44,1000
learned_active,6,profile_mae,0.2040566732765977,0.441,1000
learned_active,6,profile_mae,0.204179348853259,0.442,1000
learned_active,6,profile_mae,0.2041805205058155,0.443,1000
learned_active,6,profile_mae,0.2044795224508076,0.444,1000
learned_active,6,profile_mae,0.2059851025278809,0.445,1000
learned_active,6,profile_mae,0.2068889102587512,0.446,1000
learned_active,6,profile_mae,0.206913848635294,0.447,1000
learned_active,6,profile_mae,0.2080320314394656,0.448,1000
learned_active,6,profile_mae,0.2084418470344916,0.449,1000
learned_active,6,profile_mae,0.2091497549045509,0.45,1000
learned_active,6,profile_mae,0.2092889630984829,0.451,1000
learned_active,6,profile_mae,0.2097000226621804,0.452,1000
learned_active,6,profile_mae,0.2111787915543384,0.453,1000
learned_active,6,profile_mae,0.2115700618636065,0.454,1000
learned_active,6,profile_mae,0.2118502601477606,0.455,1000
learned_active,6,profile_mae,0.2128131154921029,0.456,1000
learned_active,6,profile_mae,0.2128150817132962,0.457,1000
learned_active,6,profile_mae,0.2140132559238978,0.458,1000
learned_active,6,profile_mae,0.2140850949584895,0.459,1000
learned_active,6,profile_mae,0.2141812174525408,0.46,1000
learned_active,6,profile_mae,0.2141879576231302,0.461,1000
learned_active,6,profile_mae,0.2143819834901437,0.462,1000
learned_active,6,profile_mae,0.2145022539295923,0.463,1000
learned_active,6,profile_mae,0.2146246429403694,0.464,1000
learned_active,6,profile_mae,0.2154023477041796,0.465,1000
learned_active,6,profile_mae,0.2168335534993907,0.466,1000
learned_active,6,profile_mae,0.218376029357463,0.467,1000
learned_active,6,profile_mae,0.218849177812022,0.468,1000
learned_active,6,profile_mae,0.2189548087923578,0.469,1000
learned_active,6,profile_mae,0.2194790379196834,0.47,1000
learned_active,6,profile_mae,0.2208271798330077,0.471,1000
learned_active,6,profile_mae,0.2208511352581313,0.472,1000
learned_active,6,profile_mae,0.2217036616775035,0.473,1000
learned_active,6,profile_mae,0.2219976056496615,0.474,1000
learned_active,6,profile_mae,0.2222467382848851,0.475,1000
learned_active,6,profile_mae,0.2228636437476831,0.476,1000
learned_active,6,profile_mae,0.223291812044441,0.477,1000
